,ADMIN0,ADMIN1,year,month,Retail,Wholesale
86,Ethiopia,Addis Ababa,2017,11,,0.24312034469893648
87,Ethiopia,Addis Ababa,2017,12,,0.20421881648676432
88,Ethiopia,Addis Ababa,2017,2,,0.01941035343145537
89,Ethiopia,Addis Ababa,2017,3,,0.07360676707953864
90,Ethiopia,Addis Ababa,2017,4,,0.09480039684065739
91,Ethiopia,Addis Ababa,2017,5,,0.16231731329567592
92,Ethiopia,Addis Ababa,2017,6,,0.20563368557264258
93,Ethiopia,Addis Ababa,2017,7,,0.2820694255842849
94,Ethiopia,Addis Ababa,2017,8,,0.37532870578747535
95,Ethiopia,Addis Ababa,2017,9,,0.36488566921366405
96,Ethiopia,Addis Ababa,2018,1,,0.21951611031596402
97,Ethiopia,Addis Ababa,2018,10,,0.41059438389358327
98,Ethiopia,Addis Ababa,2018,11,,0.410112060280717
99,Ethiopia,Addis Ababa,2018,12,,0.4337605258047865
100,Ethiopia,Addis Ababa,2018,2,,0.22813946180752886
101,Ethiopia,Addis Ababa,2018,3,,0.2586695282816582
102,Ethiopia,Addis Ababa,2018,4,,0.28759181490489577
103,Ethiopia,Addis Ababa,2018,5,,0.3300431594302562
104,Ethiopia,Addis Ababa,2018,6,,0.34295886362947337
105,Ethiopia,Addis Ababa,2018,7,,0.39468703484358425
106,Ethiopia,Addis Ababa,2018,8,,0.4458724327008813
107,Ethiopia,Addis Ababa,2018,9,,0.42861750382149566
108,Ethiopia,Addis Ababa,2019,1,,0.39540545326830356
109,Ethiopia,Addis Ababa,2019,10,,0.8851495580649913
110,Ethiopia,Addis Ababa,2019,11,,0.7825888602676897
111,Ethiopia,Addis Ababa,2019,12,,0.6218049956913583
112,Ethiopia,Addis Ababa,2019,2,,0.37999734723802414
113,Ethiopia,Addis Ababa,2019,3,,0.3814785642191918
114,Ethiopia,Addis Ababa,2019,4,,0.4494093636974116
115,Ethiopia,Addis Ababa,2019,5,,0.49204337628427913
116,Ethiopia,Addis Ababa,2019,7,,0.6581144279735814
117,Ethiopia,Addis Ababa,2019,8,,0.7588911985916879
118,Ethiopia,Addis Ababa,2019,9,,0.8764452971988658
119,Ethiopia,Addis Ababa,2020,1,,0.6157933393524893
120,Ethiopia,Addis Ababa,2020,2,,0.6542885649727452
121,Ethiopia,Addis Ababa,2020,3,,0.5597211627391782
122,Ethiopia,Afar,2011,10,0.5747847448598283,
123,Ethiopia,Afar,2011,5,0.09896935678303884,
124,Ethiopia,Afar,2011,6,-0.030608217240135682,
125,Ethiopia,Afar,2011,7,0.12925168112488913,
126,Ethiopia,Afar,2011,9,0.48444338129178227,
127,Ethiopia,Afar,2012,1,1.071446918529851,
128,Ethiopia,Afar,2012,2,1.0312018235433285,
129,Ethiopia,Afar,2012,3,0.7686104278500352,
130,Ethiopia,Afar,2013,12,0.7062930472086345,
131,Ethiopia,Afar,2014,1,0.6474061508599968,
132,Ethiopia,Afar,2014,2,0.6236731545939821,
133,Ethiopia,Afar,2014,3,0.602320269781222,
134,Ethiopia,Afar,2014,4,0.5826644592074125,
135,Ethiopia,Afar,2015,10,0.13950604660929308,
136,Ethiopia,Afar,2015,11,-0.003890922348396174,
137,Ethiopia,Afar,2015,12,-0.012273508138679775,
138,Ethiopia,Afar,2015,3,0.2943043852687405,
139,Ethiopia,Afar,2015,4,0.2868577259033043,
140,Ethiopia,Afar,2015,6,0.29657528800891925,
141,Ethiopia,Afar,2015,7,0.11550306432525013,
142,Ethiopia,Afar,2015,8,0.10658873255421887,
143,Ethiopia,Afar,2015,9,0.09900440466363103,
144,Ethiopia,Afar,2016,1,-0.021035587537391816,
145,Ethiopia,Afar,2016,3,-0.035288354967394124,
146,Ethiopia,Afar,2016,4,-0.04083272400726298,
147,Ethiopia,Afar,2016,5,-0.04595870280484914,
148,Ethiopia,Afar,2016,6,-0.05077096758557208,
149,Ethiopia,Amhara,2010,1,0.0024908925528110046,0.23272558133843468
150,Ethiopia,Amhara,2010,10,-0.043706661190313495,0.044786301176704776
151,Ethiopia,Amhara,2010,11,-0.07311487521608434,0.033727274063273374
152,Ethiopia,Amhara,2010,12,-0.145846014720563,0.06573987322371647
153,Ethiopia,Amhara,2010,2,0.030463270488697295,0.1657539066009959
154,Ethiopia,Amhara,2010,3,-0.03482616106934226,0.13403178323559076
155,Ethiopia,Amhara,2010,4,0.0392370457519658,0.09666692499834537
156,Ethiopia,Amhara,2010,5,0.06531282839909744,0.10497651597834945
157,Ethiopia,Amhara,2010,6,0.1678587666585815,0.10514342207726526
158,Ethiopia,Amhara,2010,7,0.20175554711680355,0.07294199501487546
159,Ethiopia,Amhara,2010,8,0.049674893777295,0.06169770759969437
160,Ethiopia,Amhara,2010,9,-0.035798684609365965,0.023611538386241512
161,Ethiopia,Amhara,2011,1,-0.06646784433611426,0.03681771801291953
162,Ethiopia,Amhara,2011,10,0.4787822941689372,0.47808618893787785
163,Ethiopia,Amhara,2011,11,0.40662607217043023,0.39642112798640805
164,Ethiopia,Amhara,2011,12,,0.3266424526223339
165,Ethiopia,Amhara,2011,2,-0.09089597816516515,0.012707108630971277
166,Ethiopia,Amhara,2011,3,-0.033413644481391946,0.13705179621500194
167,Ethiopia,Amhara,2011,4,0.12102295632947298,0.18363155145953053
168,Ethiopia,Amhara,2011,5,0.3879745228646345,0.31709008295152863
169,Ethiopia,Amhara,2011,6,0.35713561834902335,0.3128731755657089
170,Ethiopia,Amhara,2011,7,0.4328752598162162,0.3553400684172765
171,Ethiopia,Amhara,2011,8,0.6134661049918173,0.4917415566087183
172,Ethiopia,Amhara,2011,9,0.6051378689163535,0.5245356705588778
173,Ethiopia,Amhara,2012,1,0.29312661840882065,0.2292182061473774
174,Ethiopia,Amhara,2012,10,0.3326276032661292,0.4145993334567917
175,Ethiopia,Amhara,2012,11,0.26658515319778114,0.467757009425544
176,Ethiopia,Amhara,2012,12,0.25862618634097595,0.418143153660341
177,Ethiopia,Amhara,2012,2,0.47317512934703804,0.3958579820132498
178,Ethiopia,Amhara,2012,3,0.4050432876944708,0.4117426394600189
179,Ethiopia,Amhara,2012,4,0.3801409971293406,0.42805842057400323
180,Ethiopia,Amhara,2012,5,0.38025067992008266,0.38379552879859125
181,Ethiopia,Amhara,2012,6,0.38137296536120324,0.433344840807847
182,Ethiopia,Amhara,2012,7,0.35128633837331985,0.4534000770269903
183,Ethiopia,Amhara,2012,8,0.3008444225027611,0.5397215016010548
184,Ethiopia,Amhara,2012,9,0.33413104469636695,0.4401442880857088
185,Ethiopia,Amhara,2013,1,0.20472514087777607,0.3452553304018404
186,Ethiopia,Amhara,2013,10,0.5824050643408256,0.6634670358173472
187,Ethiopia,Amhara,2013,11,0.44949558317881316,0.5860402116094537
188,Ethiopia,Amhara,2013,12,0.32315486901322305,0.3583870178502615
189,Ethiopia,Amhara,2013,2,0.2324922462981139,0.3246364713579223
190,Ethiopia,Amhara,2013,3,0.2822486475562423,0.29221693151655503
191,Ethiopia,Amhara,2013,4,0.33380879392665946,0.303013773496975
192,Ethiopia,Amhara,2013,5,0.3442272332291271,0.3239474672213523
193,Ethiopia,Amhara,2013,6,0.3558832696293708,0.39949705097808963
194,Ethiopia,Amhara,2013,7,0.4313663564626467,0.46092851206683116
195,Ethiopia,Amhara,2013,8,0.444901749479306,0.5200864052647447
196,Ethiopia,Amhara,2013,9,0.46561072391042974,0.5826334867915689
197,Ethiopia,Amhara,2014,1,0.2535789476691339,0.253801827065624
198,Ethiopia,Amhara,2014,10,0.17087272718240645,0.24452174230417983
199,Ethiopia,Amhara,2014,11,0.14690757561055862,0.17665755517622528
200,Ethiopia,Amhara,2014,12,0.08568601945198977,0.13620576507159737
201,Ethiopia,Amhara,2014,2,0.22065610798887025,0.21519755858394418
202,Ethiopia,Amhara,2014,3,0.2161190016033001,0.21655221122200385
203,Ethiopia,Amhara,2014,4,0.12890560441678386,0.2893088471894151
204,Ethiopia,Amhara,2014,5,0.17603700310545428,0.2636056967692407
205,Ethiopia,Amhara,2014,6,0.22796081355194775,0.2713868139099267
206,Ethiopia,Amhara,2014,7,0.21103166096184517,0.3022383353116614
207,Ethiopia,Amhara,2014,8,0.251588149433422,0.2793375472436138
208,Ethiopia,Amhara,2014,9,0.342890353229568,0.3134279940659347
209,Ethiopia,Amhara,2015,1,0.011350071679586063,0.11587246926139669
210,Ethiopia,Amhara,2015,10,-0.12861302318112877,0.15380294972943975
