,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
65,Sudan,Sinnar,2019,9,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
66,Sudan,Sinnar,2019,7,0,17,1,0,0,0.0,2.0,0.0,0.0,0.0
67,Sudan,Sinnar,2019,6,0,11,1,0,0,0.0,0.0,0.0,0.0,0.0
68,Sudan,Sinnar,2019,5,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0
69,Sudan,Sinnar,2019,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0
70,Sudan,Sinnar,2019,3,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0
71,Sudan,Sinnar,2019,2,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0
72,Sudan,Sinnar,2019,1,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0
73,Sudan,Sinnar,2018,12,0,5,0,0,2,0.0,0.0,0.0,0.0,0.0
74,Sudan,Sinnar,2018,10,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
75,Sudan,Sinnar,2018,9,1,0,2,0,0,2.0,0.0,0.0,0.0,0.0
76,Sudan,Sinnar,2018,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
77,Sudan,Sinnar,2018,1,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0
78,Sudan,Sinnar,2017,7,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
79,Sudan,Sinnar,2017,6,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
80,Sudan,Sinnar,2017,4,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0
81,Sudan,Sinnar,2017,3,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
82,Sudan,Sinnar,2016,12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
83,Sudan,Sinnar,2016,11,1,0,0,0,0,10.0,0.0,0.0,0.0,0.0
84,Sudan,Sinnar,2016,10,1,2,0,0,0,17.0,0.0,0.0,0.0,0.0
85,Sudan,Sinnar,2016,5,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,Sudan,Sinnar,2016,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
87,Sudan,Sinnar,2016,3,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
88,Sudan,Sinnar,2015,11,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
89,Sudan,Sinnar,2015,6,2,0,0,1,1,67.0,0.0,0.0,3.0,0.0
90,Sudan,Sinnar,2015,5,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
91,Sudan,Sinnar,2014,12,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
92,Sudan,Sinnar,2014,9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
93,Sudan,Sinnar,2014,8,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
94,Sudan,Sinnar,2014,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
